Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     28.58     0.00       14     0.00     0.00  x264_log_default
  0.00     28.58     0.00        8     0.00     0.00  predict_8x8_dc_128
  0.00     28.58     0.00        5     0.00     0.00  predict_16x16_dc_128
  0.00     28.58     0.00        5     0.00     0.00  x264_validate_levels
  0.00     28.58     0.00        4     0.00     0.00  predict_4x4_dc_128
  0.00     28.58     0.00        3     0.00     0.00  x264_print_intra
  0.00     28.58     0.00        2     0.00     0.00  x264_pps_write
  0.00     28.58     0.00        2     0.00     0.00  x264_sps_init
  0.00     28.58     0.00        2     0.00     0.00  x264_sps_write
  0.00     28.58     0.00        1     0.00    28.50  Encode
  0.00     28.58     0.00        1     0.00     0.00  Parse
  0.00     28.58     0.00        1     0.00     0.00  close_file_bsf
  0.00     28.58     0.00        1     0.00     0.00  close_file_yuv
  0.00     28.58     0.00        1     0.00     0.00  get_frame_total_yuv
  0.00     28.58     0.00        1     0.00     0.00  mbcmp_init
  0.00     28.58     0.00        1     0.00     0.00  open_file_bsf
  0.00     28.58     0.00        1     0.00     0.00  open_file_yuv
  0.00     28.58     0.00        1     0.00     0.00  parse_zones
  0.00     28.58     0.00        1     0.00     0.00  set_param_bsf
  0.00     28.58     0.00        1     0.00     0.00  x264_cpu_detect
  0.00     28.58     0.00        1     0.00     0.00  x264_cpu_num_processors
  0.00     28.58     0.00        1     0.00     0.00  x264_cqm_delete
  0.00     28.58     0.00        1     0.00     0.00  x264_dct_init
  0.00     28.58     0.00        1     0.00     0.00  x264_dct_init_weights
  0.00     28.58     0.00        1     0.00     0.00  x264_deblock_init
  0.00     28.58     0.00        1     0.00     0.00  x264_encoder_close
  0.00     28.58     0.00        1     0.00     0.01  x264_encoder_open
  0.00     28.58     0.00        1     0.00     0.00  x264_lowres_context_alloc
  0.00     28.58     0.00        1     0.00     0.00  x264_macroblock_cache_end
  0.00     28.58     0.00        1     0.00     0.00  x264_macroblock_cache_init
  0.00     28.58     0.00        1     0.00     0.00  x264_mc_init
  0.00     28.58     0.00        1     0.00     0.00  x264_param2string
  0.00     28.58     0.00        1     0.00     0.00  x264_param_default
  0.00     28.58     0.00        1     0.00     0.00  x264_picture_alloc
  0.00     28.58     0.00        1     0.00     0.00  x264_picture_clean
  0.00     28.58     0.00        1     0.00     0.00  x264_pixel_init
  0.00     28.58     0.00        1     0.00     0.00  x264_pps_init
  0.00     28.58     0.00        1     0.00     0.00  x264_predict_16x16_init
  0.00     28.58     0.00        1     0.00     0.00  x264_predict_4x4_init
  0.00     28.58     0.00        1     0.00     0.00  x264_predict_8x8_init
  0.00     28.58     0.00        1     0.00     0.00  x264_predict_8x8c_init
  0.00     28.58     0.00        1     0.00     0.00  x264_quant_init
  0.00     28.58     0.00        1     0.00     0.00  x264_ratecontrol_delete
  0.00     28.58     0.00        1     0.00     0.00  x264_ratecontrol_new
