Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00       3/3           x264_nal_start [196]
                0.00    0.00       3/3           x264_nal_end [195]
                0.00    0.00       1/1           x264_sei_version_write [236]
                0.00    0.00       1/1           x264_sps_write [237]
                0.00    0.00       1/1           x264_pps_write [225]
-----------------------------------------------
                0.01   20.80      75/75          x264_encoder_encode [3]
[4]     93.6    0.01   20.80      75         x264_slice_write [4]
                0.13   18.91   29700/29700       x264_macroblock_analyse [5]
                0.00    0.85    1425/1425        x264_fdec_filter_row [24]
                0.01    0.63   29700/138090      x264_macroblock_encode [12]
                0.03    0.11   29290/29290       x264_macroblock_write_cavlc [55]
                0.07    0.01   29700/29700       x264_macroblock_cache_load [70]
                0.03    0.01   29700/29700       x264_macroblock_cache_save [83]
                0.00    0.00   29700/29700       x264_ratecontrol_mb [152]
-----------------------------------------------
                0.13   18.91   29700/29700       x264_slice_write [4]
[5]     85.6    0.13   18.91   29700         x264_macroblock_analyse [5]
                0.29   11.20  355524/471060      x264_me_search_ref [6]
                0.04    3.16   29304/29304       x264_mb_analyse_inter_p16x16 [10]
                0.02    2.76   29039/29039       x264_mb_analyse_p_rd [13]
                0.07    0.68   29435/29435       x264_mb_analyse_intra [25]
                0.01    0.50   29435/29435       x264_intra_rd [35]
                0.01    0.07   29039/49482       x264_mb_analyse_intra_chroma [57]
                0.05    0.00  355524/613533      x264_mb_predict_mv [67]
                0.02    0.00   29304/29455       x264_mb_analyse_load_costs [100]
                0.00    0.01   29435/134267      x264_analyse_update_cache [76]
                0.00    0.00     396/396         x264_mb_cache_fenc_satd [129]
                0.00    0.00   58608/58608       prefetch_ref_null [141]
                0.00    0.00   29700/29775       x264_ratecontrol_qp [145]
                0.00    0.00   29700/29700       x264_adaptive_quant [150]
                0.00    0.00   27797/27797       x264_mb_analyse_transform_rd [153]
-----------------------------------------------
                0.02    0.92   29304/471060      x264_slicetype_mb_cost [18]
                0.07    2.72   86232/471060      x264_mb_analyse_inter_p16x16 [10]
                0.29   11.20  355524/471060      x264_macroblock_analyse [5]
[6]     68.5    0.39   14.85  471060         x264_me_search_ref [6]
                0.23    9.07  471060/471060      refine_subpel [7]
                0.97    0.00 1710146/5749409     get_ref [9]
                0.73    0.00  739547/739547      x264_pixel_sad_16x16 [27]
                0.68    0.00  172464/284617      x264_pixel_sad_x4_16x16 [20]
                0.62    0.00  216268/216268      x264_pixel_sad_x3_16x16 [30]
                0.60    0.00  547416/877627      x264_pixel_sad_x4_8x8 [23]
                0.59    0.00  647980/647980      x264_pixel_sad_x3_8x8 [31]
                0.29    0.00 1308471/1426211     x264_pixel_sad_8x8 [43]
                0.23    0.00  117844/117844      x264_pixel_sad_x3_16x8 [48]
                0.21    0.00  109586/173186      x264_pixel_sad_x4_16x8 [41]
                0.21    0.00  112654/178313      x264_pixel_sad_x4_8x16 [40]
                0.17    0.00  120557/120557      x264_pixel_sad_x3_8x16 [51]
                0.14    0.00  296781/296781      x264_pixel_sad_16x8 [56]
                0.11    0.00  307467/307467      x264_pixel_sad_8x16 [59]
-----------------------------------------------
                0.23    9.07  471060/471060      x264_me_search_ref [6]
[7]     41.8    0.23    9.07  471060         refine_subpel [7]
                2.46    0.00 4678431/5196047     mc_chroma [14]
                2.29    0.00 4039263/5749409     get_ref [9]
                0.07    1.14 2472202/2993060     x264_pixel_satd_8x8 [15]
                0.05    0.72  393960/505889      x264_pixel_satd_16x16 [22]
                0.44    0.00  112153/284617      x264_pixel_sad_x4_16x16 [20]
                0.36    0.00  330211/877627      x264_pixel_sad_x4_8x8 [23]
                0.00    0.34  365779/365779      x264_pixel_satd_8x16 [39]
                0.00    0.33  356156/356156      x264_pixel_satd_16x8 [42]
                0.32    0.00 2747256/6322232     x264_pixel_satd_4x4 [26]
                0.02    0.15  627243/627243      x264_pixel_satd_4x8 [52]
                0.14    0.00  611852/13532824     x264_pixel_satd_8x4 [11]
                0.12    0.00   65659/178313      x264_pixel_sad_x4_8x16 [40]
                0.12    0.00   63600/173186      x264_pixel_sad_x4_16x8 [41]
-----------------------------------------------
                0.00    0.12    3823/108390      x264_mb_analyse_inter_p16x16 [10]
                0.01    0.48   15966/108390      x264_intra_rd [35]
                0.03    2.69   88601/108390      x264_mb_analyse_p_rd [13]
[8]     15.0    0.04    3.29  108390         x264_rd_cost_mb [8]
                0.05    2.30  108390/138090      x264_macroblock_encode [12]
                0.01    0.41  108390/108390      x264_pixel_hadamard_ac_16x16 [37]
                0.07    0.23  108229/108229      x264_macroblock_size_cavlc [44]
                0.11    0.00  108390/108390      x264_pixel_ssd_16x16 [63]
                0.11    0.00  216780/217766      x264_pixel_ssd_8x8 [60]
-----------------------------------------------
                0.97    0.00 1710146/5749409     x264_me_search_ref [6]
                2.29    0.00 4039263/5749409     refine_subpel [7]
[9]     14.7    3.26    0.00 5749409         get_ref [9]
-----------------------------------------------
                0.04    3.16   29304/29304       x264_macroblock_analyse [5]
[10]    14.4    0.04    3.16   29304         x264_mb_analyse_inter_p16x16 [10]
                0.07    2.72   86232/471060      x264_me_search_ref [6]
                0.00    0.12    3823/108390      x264_rd_cost_mb [8]
                0.00    0.11  116156/117740      x264_pixel_sa8d_8x8 [62]
                0.05    0.00  464624/6322232     x264_pixel_satd_4x4 [26]
                0.04    0.00  464624/470960      x264_pixel_sad_4x4 [84]
                0.03    0.00  116156/1426211     x264_pixel_sad_8x8 [43]
                0.02    0.00   86232/86232       x264_mb_predict_mv_ref16x16 [96]
                0.00    0.01     835/835         x264_macroblock_probe_skip [125]
                0.00    0.00     265/134267      x264_analyse_update_cache [76]
                0.00    0.00   86232/110730      x264_mb_predict_mv_16x16 [137]
-----------------------------------------------
                0.14    0.00  611852/13532824     refine_subpel [7]
                0.33    0.00 1424624/13532824     x264_pixel_satd_16x8 [42]
                0.34    0.00 1463116/13532824     x264_pixel_satd_8x16 [39]
                0.93    0.00 4047112/13532824     x264_pixel_satd_16x16 [22]
                1.38    0.00 5986120/13532824     x264_pixel_satd_8x8 [15]
[11]    14.0    3.11    0.00 13532824         x264_pixel_satd_8x4 [11]
-----------------------------------------------
                0.01    0.63   29700/138090      x264_slice_write [4]
                0.05    2.30  108390/138090      x264_rd_cost_mb [8]
[12]    13.4    0.06    2.93  138090         x264_macroblock_encode [12]
                0.17    0.92  137825/137825      x264_mb_encode_8x8_chroma [21]
                0.00    0.44  117382/117382      x264_mb_mc [36]
                0.42    0.00 1994640/3295184     quant_4x4 [28]
                0.40    0.00  211062/336166      add8x8_idct [29]
                0.00    0.28  124665/124665      sub16x16_dct [45]
                0.09    0.00  124665/772844      sub8x8_dct [32]
                0.09    0.00  776168/1340003     dequant_4x4 [53]
                0.03    0.00    6185/6185        add16x16_idct [93]
                0.03    0.00  487323/488337      x264_decimate_score16 [89]
                0.03    0.00  783339/1348374     zigzag_scan_4x4_frame [80]
                0.01    0.00    7283/7283        quant_4x4_dc [122]
                0.01    0.00     994/994         add16x16_idct_dc [124]
                0.00    0.01   13160/206585      x264_mb_encode_i4x4 [58]
                0.00    0.00   13160/81817       mc_copy_w16 [97]
                0.00    0.00   16762/99596       predict_8x8c_dc [111]
                0.00    0.00     989/27556       predict_16x16_p [87]
                0.00    0.00    9976/95958       predict_8x8c_h [112]
                0.00    0.00   11467/379559      x264_decimate_score15 [90]
                0.00    0.00    7366/92638       predict_8x8c_v [113]
                0.00    0.00    1170/27737       predict_16x16_dc [119]
                0.00    0.00     749/28535       predict_16x16_v [118]
                0.00    0.00    5791/280063      predict_4x4_h [104]
                0.00    0.00    1162/244061      predict_4x4_dc [95]
                0.00    0.00    1049/223574      predict_4x4_hu [105]
                0.00    0.00     504/210078      predict_4x4_vr [108]
                0.00    0.00     366/212632      predict_4x4_ddl [106]
                0.00    0.00     302/210989      predict_4x4_vl [107]
                0.00    0.00    7283/7283        dct4x4dc [155]
                0.00    0.00    7171/7171        idct4x4dc [157]
                0.00    0.00    7171/7171        dequant_4x4_dc [156]
                0.00    0.00    5708/88542       predict_8x8c_p [140]
                0.00    0.00    4234/32375       predict_16x16_h [144]
                0.00    0.00    1735/229853      predict_4x4_hd [133]
                0.00    0.00    1463/223971      predict_4x4_v [134]
                0.00    0.00    1028/4176        predict_8x8c_dc_left [161]
                0.00    0.00     788/214810      predict_4x4_ddr [135]
                0.00    0.00     107/1681        predict_16x16_dc_left [165]
                0.00    0.00      33/1252        predict_16x16_dc_top [167]
                0.00    0.00      24/174         predict_8x8c_dc_128 [172]
                0.00    0.00      22/2460        predict_8x8c_dc_top [163]
