Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    334.58     0.00    13319     0.00     0.00  bs_write_ue_big
  0.00    334.58     0.00    13060     0.00     0.00  predict_4x4_dc_left
  0.00    334.58     0.00    12114     0.00     0.00  x264_frame_expand_border_filtered
  0.00    334.58     0.00    12114     0.00     0.00  x264_frame_filter
  0.00    334.58     0.00    11790     0.00     0.00  predict_4x4_dc_top
  0.00    334.58     0.00    10956     0.00     0.00  deblock_h_luma_intra_c
  0.00    334.58     0.00     9781     0.00     0.00  x264_macroblock_probe_skip
  0.00    334.58     0.00     9343     0.00     0.00  memzero_aligned
  0.00    334.58     0.00     7343     0.00     0.00  x264_frame_push
  0.00    334.58     0.00     7052     0.00     0.00  x264_cabac_encode_ue_bypass
  0.00    334.58     0.00     6222     0.00     0.00  pixel_avg_16x8
  0.00    334.58     0.00     6000     0.00     0.00  plane_copy
  0.00    334.58     0.00     6000     0.00     0.00  x264_thread_sync_stat
  0.00    334.58     0.00     5308     0.00     0.00  x264_mb_cache_mv_b8x16
  0.00    334.58     0.00     4866     0.00     0.00  x264_malloc
  0.00    334.58     0.00     2674     0.00     0.00  x264_frame_pop_unused
  0.00    334.58     0.00     2673     0.00     0.00  get_zone
  0.00    334.58     0.00     2670     0.00     0.00  x264_frame_push_unused
  0.00    334.58     0.00     2650     0.00     0.00  x264_frame_pop
  0.00    334.58     0.00     2281     0.00     0.00  x264_macroblock_encode_pskip
  0.00    334.58     0.00     2040     0.00     0.16  Encode_frame
  0.00    334.58     0.00     2036     0.00     0.00  scenecut
  0.00    334.58     0.00     2017     0.00     0.00  write_nalu_bsf
  0.00    334.58     0.00     2017     0.00     0.00  x264_nal_end
  0.00    334.58     0.00     2017     0.00     0.00  x264_nal_start
  0.00    334.58     0.00     2014     0.00     0.00  x264_log
  0.00    334.58     0.00     2000     0.00     0.00  accum_p_qp_update
  0.00    334.58     0.00     2000     0.00     0.00  predict_size
  0.00    334.58     0.00     2000     0.00     0.00  rate_estimate_qscale
  0.00    334.58     0.00     2000     0.00     0.00  read_frame_yuv
  0.00    334.58     0.00     2000     0.00     0.00  set_eop_bsf
  0.00    334.58     0.00     2000     0.00     0.00  setup_inverse_delta_pocs
  0.00    334.58     0.00     2000     0.00     0.00  update_vbv
  0.00    334.58     0.00     2000     0.00     0.00  x264_cabac_encode_flush
  0.00    334.58     0.00     2000     0.00     0.00  x264_frame_copy_picture
  0.00    334.58     0.00     2000     0.00     0.00  x264_frame_expand_border_lowres
  0.00    334.58     0.00     2000     0.00     0.00  x264_macroblock_slice_init
  0.00    334.58     0.00     2000     0.00     0.00  x264_noise_reduction_update
  0.00    334.58     0.00     2000     0.00     0.00  x264_ratecontrol_end
  0.00    334.58     0.00     2000     0.00     0.00  x264_ratecontrol_set_estimated_size
  0.00    334.58     0.00     2000     0.00     0.00  x264_ratecontrol_start
  0.00    334.58     0.00     2000     0.00     0.00  x264_slice_header_init
  0.00    334.58     0.00     2000     0.00     0.00  x264_slice_header_write
  0.00    334.58     0.00     2000     0.00     0.13  x264_slices_write
  0.00    334.58     0.00     1422     0.00     0.00  predict_8x8_dc_128
  0.00    334.58     0.00     1392     0.00     0.00  predict_8x8c_dc_128
  0.00    334.58     0.00     1353     0.00     0.00  x264_lowres_context_init
  0.00    334.58     0.00     1337     0.00     0.00  update_predictor
  0.00    334.58     0.00     1327     0.00     0.00  x264_macroblock_bipred_init
  0.00    334.58     0.00     1091     0.00     0.00  x264_mb_analyse_inter_b16x8
  0.00    334.58     0.00     1086     0.00     0.00  x264_mb_analyse_inter_b8x16
  0.00    334.58     0.00     1002     0.00     0.00  x264_mdate
  0.00    334.58     0.00      727     0.00     0.00  predict_16x16_dc_128
  0.00    334.58     0.00      673     0.00     0.00  clip_qscale
  0.00    334.58     0.00      673     0.00     0.00  get_qscale
  0.00    334.58     0.00      673     0.00     0.00  x264_rc_analyse_slice
  0.00    334.58     0.00      673     0.00     0.09  x264_slicetype_decide
  0.00    334.58     0.00      169     0.00     0.00  add16x16_idct_dc
  0.00    334.58     0.00      168     0.00     0.00  bs_write_ue_big
  0.00    334.58     0.00      104     0.00     0.00  bs_write
  0.00    334.58     0.00       45     0.00     0.00  x264_frame_delete
  0.00    334.58     0.00       45     0.00     0.00  x264_frame_new
  0.00    334.58     0.00       41     0.00     0.00  x264_encoder_delayed_frames
  0.00    334.58     0.00       16     0.00     0.00  predict_4x4_dc_128
  0.00    334.58     0.00       14     0.00     0.00  x264_log_default
  0.00    334.58     0.00        8     0.00     0.00  x264_pps_write
  0.00    334.58     0.00        8     0.00     0.00  x264_sps_write
  0.00    334.58     0.00        5     0.00     0.00  x264_validate_levels
  0.00    334.58     0.00        3     0.00     0.00  x264_print_intra
  0.00    334.58     0.00        2     0.00     0.00  x264_sps_init
  0.00    334.58     0.00        1     0.00   334.12  Encode
  0.00    334.58     0.00        1     0.00     0.00  Parse
  0.00    334.58     0.00        1     0.00     0.00  close_file_bsf
  0.00    334.58     0.00        1     0.00     0.00  close_file_yuv
  0.00    334.58     0.00        1     0.00     0.00  get_frame_total_yuv
  0.00    334.58     0.00        1     0.00     0.00  mbcmp_init
  0.00    334.58     0.00        1     0.00     0.00  open_file_bsf
  0.00    334.58     0.00        1     0.00     0.00  open_file_yuv
  0.00    334.58     0.00        1     0.00     0.00  parse_zones
  0.00    334.58     0.00        1     0.00     0.00  set_param_bsf
  0.00    334.58     0.00        1     0.00     0.00  x264_cpu_detect
  0.00    334.58     0.00        1     0.00     0.00  x264_cpu_num_processors
  0.00    334.58     0.00        1     0.00     0.00  x264_cqm_delete
  0.00    334.58     0.00        1     0.00     0.00  x264_dct_init
  0.00    334.58     0.00        1     0.00     0.00  x264_dct_init_weights
  0.00    334.58     0.00        1     0.00     0.00  x264_encoder_close
  0.00    334.58     0.00        1     0.00     0.04  x264_encoder_open
  0.00    334.58     0.00        1     0.00     0.00  x264_lowres_context_alloc
  0.00    334.58     0.00        1     0.00     0.00  x264_macroblock_cache_end
  0.00    334.58     0.00        1     0.00     0.00  x264_macroblock_cache_init
  0.00    334.58     0.00        1     0.00     0.00  x264_mc_init
  0.00    334.58     0.00        1     0.00     0.00  x264_param2string
  0.00    334.58     0.00        1     0.00     0.00  x264_param_default
  0.00    334.58     0.00        1     0.00     0.00  x264_picture_alloc
  0.00    334.58     0.00        1     0.00     0.00  x264_picture_clean
  0.00    334.58     0.00        1     0.00     0.00  x264_pixel_init
  0.00    334.58     0.00        1     0.00     0.00  x264_pps_init
  0.00    334.58     0.00        1     0.00     0.00  x264_predict_4x4_init
  0.00    334.58     0.00        1     0.00     0.00  x264_predict_8x8_init
  0.00    334.58     0.00        1     0.00     0.00  x264_predict_8x8c_init
  0.00    334.58     0.00        1     0.00     0.00  x264_quant_init
  0.00    334.58     0.00        1     0.00     0.00  x264_ratecontrol_delete
  0.00    334.58     0.00        1     0.00     0.00  x264_ratecontrol_new
  0.00    334.58     0.00        1     0.00     0.00  x264_ratecontrol_summary
  0.00    334.58     0.00        1     0.00     0.00  x264_rdo_init
  0.00    334.58     0.00        1     0.00     0.00  x264_reduce_fraction
  0.00    334.58     0.00        1     0.00     0.00  x264_sei_version_write
  0.00    334.58     0.00        1     0.00     0.00  x264_set_aspect_ratio
  0.00    334.58     0.00        1     0.00     0.00  x264_validate_parameters
  0.00    334.58     0.00        1     0.00     0.00  x264_zigzag_init

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.00% of 334.58 seconds

index % time    self  children    called     name
                0.00  334.12       1/1           main [2]
[1]     99.9    0.00  334.12       1         Encode [1]
                0.00  334.08    2040/2040        Encode_frame [3]
                0.00    0.04       1/1           x264_encoder_open [189]
                0.00    0.00    2000/2000        read_frame_yuv [279]
                0.00    0.00    1002/1002        x264_mdate [295]
