Port, Packet #, Arrival Time, Inter-Packet Time, Inter-Message Time, messageType, sequenceId, embedded Time
M -> S, 182, 32.994436026, 0.923547029, 0.999997854, 0x0: EVENT:SYNC, 12799, 1312261148.011533300
M -> S, 183, 32.994467020, 0.000030994, 1.999999046, 0xB: GENER:ANNOUNCE, 6399, 0.000000000
M -> S, 184, 32.994482040, 0.000015020, 1.999999046, 0x2: EVENT:PATH_DELAY_REQ, 6399, 1312261148.011593300
M -> S, 185, 32.994565964, 0.000083923, 1.000024796, 0x8: GENER:FOLLOW_UP, 12799, 1312261148.011547100
M <- S, 186, 32.995444059, 0.000878096, 2.000007868, 0x3: EVENT:PATH_DELAY_RESP, 6399, 1312261148.011217100
M <- S, 187, 32.995460033, 0.000015974, 2.000007868, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6399, 1312261148.011758100
M -> S, 188, 33.994434118, 0.998974085, 0.999998093, 0x0: EVENT:SYNC, 12800, 1312261149.011532100
M -> S, 189, 33.994537115, 0.000102997, 0.999971151, 0x8: GENER:FOLLOW_UP, 12800, 1312261149.011545900
M <- S, 190, 34.071045160, 0.076508045, 2.000439167, 0x2: EVENT:PATH_DELAY_REQ, 6382, 1312261149.087244500
M -> S, 191, 34.071241140, 0.000195980, 2.000440121, 0x3: EVENT:PATH_DELAY_RESP, 6382, 1312261149.088159100
M -> S, 192, 34.071328163, 0.000087023, 2.000439167, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6382, 1312261149.088352000
M -> S, 193, 34.994438171, 0.923110008, 1.000004053, 0x0: EVENT:SYNC, 12801, 1312261150.011536100
M -> S, 194, 34.994469166, 0.000030994, 2.000002146, 0xB: GENER:ANNOUNCE, 6400, 0.000000000
M -> S, 195, 34.994482994, 0.000013828, 2.000000954, 0x2: EVENT:PATH_DELAY_REQ, 6400, 1312261150.011595000
M -> S, 196, 34.994568110, 0.000085115, 1.000030994, 0x8: GENER:FOLLOW_UP, 12801, 1312261150.011549900
M <- S, 197, 34.995436192, 0.000868082, 1.999992132, 0x3: EVENT:PATH_DELAY_RESP, 6400, 1312261150.011086900
