x, 0, x, fffX, x, x, x, x, x, x, x, x, xxxx, xx, xx, xx, xx, xx, xx, Xx, xxxx, xx, xx, xx
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f849, 10, 49, 80, 00, 00, ff, a4, f849, 10, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f849, 10, 49, 80, 00, 00, ff, a4, f849, 10, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f849, fe, 49, 80, 00, 00, ff, a4, f849, 10, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f849, fe, 49, 80, 00, 00, ff, a4, f849, 10, 80, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f84a, fe, a4, 80, 00, 00, ff, a4, f84a, 10, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f84a, fe, a4, 80, 00, 00, ff, a4, f84a, 10, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f84a, 49, a4, 80, 00, 00, ff, a4, f84a, 10, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f84a, 49, a4, 80, 00, 00, ff, a4, f84a, 10, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 0, 3, 0, f84b, 49, 4b, 80, 00, 00, ff, a4, f84b, 49, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 0, 3, 0, f84b, 49, 4b, 80, 00, 00, ff, a4, f84b, 49, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 0, 3, 0, f84b, 80, 4b, 80, 00, 00, ff, a4, f84b, 49, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f84b, 80, 4b, 80, 00, 00, ff, a4, f84b, 49, fe, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 0, 3, 0, f84c, 80, a4, 80, 00, 00, ff, a4, f84c, 49, 80, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 0, 3, 0, f84c, 80, a4, 80, 00, 00, ff, a4, f84c, 49, 80, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 0, 3, 0, f84c, 30, a4, 80, 00, 00, ff, a4, f84c, 49, 80, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f84c, 30, a4, 80, 00, 00, ff, a4, f84c, 49, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f84d, 30, 4d, 00, 00, 00, ff, 26, f84d, 30, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f84d, 30, 4d, 00, 00, 00, ff, 26, f84d, 30, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f84d, fe, 4d, 00, 00, 00, ff, 26, f84d, 30, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f84d, fe, 4d, 00, 00, 00, ff, 26, f84d, 30, 80, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f84e, fe, 26, 00, 00, 00, ff, 26, f84e, 30, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f84e, fe, 26, 00, 00, 00, ff, 26, f84e, 30, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f84e, 38, 26, 00, 00, 00, ff, 26, f84e, 30, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f84e, 38, 26, 00, 00, 00, ff, 26, f84e, 30, fe, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 0, 3, 0, f84f, 38, 26, 00, 00, 00, ff, 26, f84f, 38, fe, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 0, 3, 0, f84f, 38, 26, 00, 00, 00, ff, 26, f84f, 38, fe, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 0, 3, 0, f84f, 90, 26, 00, 00, 00, ff, 26, f84f, 38, fe, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 1, 3, 1, f84f, 90, 26, 00, 00, 00, ff, 26, f84f, 38, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f850, 90, 50, 00, 00, 00, ff, 27, f850, 90, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f850, 90, 50, 00, 00, 00, ff, 27, f850, 90, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 0, 3, 0, f850, fe, 50, 00, 00, 00, ff, 27, f850, 90, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f850, fe, 50, 00, 00, 00, ff, 27, f850, 90, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f851, fe, 27, 00, 00, 00, ff, 27, f851, 90, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f851, fe, 27, 00, 00, 00, ff, 27, f851, 90, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 0, 3, 0, f851, e9, 27, 00, 00, 00, ff, 27, f851, 90, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f851, e9, 27, 00, 00, 00, ff, 27, f851, 90, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 0, 3, 0, f852, e9, 52, 00, 00, 00, ff, 27, f852, e9, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 0, 3, 0, f852, e9, 52, 00, 00, 00, ff, 27, f852, e9, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 0, 3, 0, f852, 80, 52, 00, 00, 00, ff, 27, f852, e9, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f852, 80, 52, 00, 00, 00, ff, 27, f852, e9, fe, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 0, 3, 0, f853, 80, 27, 00, 00, 00, ff, 27, f853, e9, 80, f8
